PROCEDIMENTO;RN_alteracao;VIGENCIA;Seg. Odontológica;Seg. Ambulatorial;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
CONSULTA ODONTOLOGICA DE URGENCIA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA ODONTOLOGICA PARA AVALIACAO TECNICA DE AUDITORIA;;;OD;;;;;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTAAVALIACAO COM PSICOLOGO;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSAO COM PSICOLOGO;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTAAVALIACAO COM FONOAUDIOLOGO;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSAO COM FONOAUDIOLOGO;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA COM DIRETRIZ DE UTILIZACAO;;;;AMB;;;REF;;103;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
CONSULTAAVALIACAO COM TERAPEUTA OCUPACIONAL;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
SESSAO COM TERAPEUTA OCUPACIONAL;5412022;01082022;;AMB;;;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MEDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAUDE;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
VISITA HOSPITALAR;;;;;HCO;HSO;REF;;;CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES;PROCEDIMENTOS GERAIS;PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE CORNEA;;;;;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE MEDULA OSSEA;;;;;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE HEPATICO;5462022;03102022;;;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE RENAL;;;;;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO DE TRANSPLANTE HEPATICO NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR;5462022;03102022;;;HCO;HSO;REF;PAC;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACOMPANHAMENTO CLINICO DE TRANSPLANTE RENAL NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR;;;;;HCO;HSO;REF;PAC;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
AVALIACAO CLINICA DIARIA ENTERAL EOU PARENTERAL;;;;;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDIACO ELETRONICO IMPLANTAVEL MARCA-PASSO, ESTIMULADOR MULTISSITIORESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS;;;;AMB;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSAO ELETRICA COM ELETROCARDIOGRAMA;;;;AMB;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CONTROLE DE BIOFILME DENTAL PLACA BACTERIANA;;;OD;;;;;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA COM PROTOCOLO DE UTILIZACAO - PROUT;;;;AMB;HCO;HSO;REF;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PROFILAXIA POLIMENTO CORONARIO;;;OD;;;;;;;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ANTINEOPLASICA ORAL PARA TRATAMENTO DO CANCER COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;PAC;64;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TESTE DE PROVOCACAO ORAL COM ALIMENTOS COM DIRETRIZ DE UTILIZACAO;5362022;06052022;;AMB;HCO;HSO;REF;;152;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLASICOS COM DIRETRIZ DE UTILIZACAO;;;;AMB;;;REF;PAC;54;AVALIACOESACOMPANHAMENTOS;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CARDIOTOCOGRAFIA;;;;AMB;HCO;HSO;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALOGICO OU DIGITAL;;;;AMB;;;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA 24 HORAS - COM DIRETRIZ DE UTILIZACAO;;;;AMB;;;REF;;56;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL DE 5 DIAS - MAPA 5 DIAS MONITORIZACAO RESIDENCIAL DA PRESSAO ARTERIAL - MRPA - COM DIRETRIZ DE UTILIZACAO;5812023;12072023;;AMB;;;REF;;162;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO DA PRESSAO INTRACRANIANA;;;;;HCO;HSO;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO HEMODINAMICA INVASIVA OU NAO INVASIVA;;;;;HCO;HSO;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
MONITORIZACAO NEUROFISIOLOGICA INTRA-OPERATORIA;;;;;HCO;HSO;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATORIO - MONITORIZACAO CIRURGICA PEIO;;;;;HCO;HSO;REF;;;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TESTE DE INCLINACAO ORTOSTATICA TILT TEST - COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;PAC;67;MONITORIZACOES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ADAPTACAO E TREINAMENTO DE RECURSOS OPTICOS;;;;AMB;;;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
AMPUTACAO PREPARACAO DO COTO E TREINAMENTO PROTETICO;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
BIOFEEDBACK COM EMG;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
EXERCICIOS DE ORTOPTICA;;;;AMB;;;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
INFILTRACAO DE PONTO GATILHO OU AGULHAMENTO SECO;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQUELAS EM TRAUMATISMOS E POLITRAUMATIZADOS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO LABIRINTICA;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REABILITACAO PERINEALVESICO-URETRAL COM OU SEM BIOFEEDBACK;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUACACAO E REABILITACAO DE QUEIMADOS PARA PREVENCAO DE SEQUELAS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO CARDIOVASCULAR;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO DO SISTEMA LINFATICO EOU VASCULAR PERIFERICO;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO DO SISTEMA MUSCULO-ESQUELETICO POR DISTURBIOS CONGENITOS OU REUMATICOS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NEUROLOGICA;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NEURO-MUSCULO-ESQUELETICA;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO RESPIRATORIA;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO E REABILITACAO TRAUMATO-ORTOPEDICA EXCLUI TECNICAS CINESIOTERAPICAS ESPECIFICAS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO EOU REABILITACAO DE DISTURBIOS CRANIO-FACIAIS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REEDUCACAO EOU REABILITACAO NOS PROCESSOS INFLAMATORIOS PELVICOS;;;;AMB;HCO;HSO;REF;;;REABILITACAO;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ACTINOTERAPIA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
APLICACAO DE CARIOSTATICO COM DIRETRIZ DE UTILIZACAO;;;OD;;;;;;79;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
APLICACAO DE HIPOSSENSIBILIZANTE;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
APLICACAO DE SELANTE COM DIRETRIZ DE UTILIZACAO;;;OD;;;;;;80;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
APLICACAO TOPICA DE FLUOR;;;OD;;;;;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
APLICACAO TOPICA DE VERNIZ FLUORETADO;;;OD;;;;;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
BETATERAPIA;;;;AMB;HCO;HSO;REF;PAC;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSAO QUIMICA DE ARRITMIA PAROXISTA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CATETERISMO VESICAL;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CERUMEN - REMOCAO;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CRIOTERAPIA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
CURATIVOS EM GERAL COM OU SEM ANESTESIA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
DILATACAO URETRAL;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
DESSENSIBILIZACAO DENTARIA;;;OD;;;;;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
ESTIMULACAO ELETRICA TRANSCUTANEA COM DIRETRIZ DE UTILIZACAO;;;;AMB;HCO;HSO;REF;;24;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
FOTOTERAPIA COM UVA PUVA PARA TRATAMENTO DE PSORIASE OU VITILIGO;;;;AMB;;;REF;PAC;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
INSTILACAO VESICAL OU URETRAL;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
LESOES MUSCULO TENDINOSAS - TRATAMENTO INCRUENTO;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PLANEJAMENTO TECNICO DA IMUNOTERAPIA ALERGENO INESPECIFICA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PLANEJAMENTO TECNICO DA IMUNOTERAPIA ALERGENO-ESPECIFICA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PRIAPISMO - TRATAMENTO NAO CIRURGICO;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
PULSOTERAPIA;;;;AMB;HCO;HSO;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
OXIGENOTERAPIA HIPERBARICA COM DIRETRIZ DE UTILIZACAO;;;;;HCO;HSO;REF;PAC;58;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REDUCAO DE LUXACAO DA ATM COM DIRETRIZ DE UTILIZACAO;;;OD;AMB;HCO;HSO;REF;;96;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
REMINERALIZACAO DENTARIA;;;OD;;;;;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
SESSAO DE ACUPUNTURA;;;;AMB;;;REF;;;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TERAPIA AVANCADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL COM DIRETRIZ DE UTILIZACAO;5712023;10022023;;;HCO;HSO;REF;PAC;159;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
TERAPIA PARA DOENCA DE FABRY CLASSICA COM DIRETRIZ DE UTILIZACAO;5812023 5992024;12072023 05032024;;AMB;HCO;HSO;REF;PAC;161;TERAPEUTICA;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES;PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES
